File ID,English_name,Vocalization_type,Quality,Time,Date,X,Y,Representative
402254,Rose-crested Blue Pipit,call,no score,13:30,02/08/2018,49,63,
406171,Rose-crested Blue Pipit,call,A,07:48,06/07/2017,125,133,
405901,Rose-crested Blue Pipit,call,A,12:00,02/08/2018,58,76,
405548,Rose-crested Blue Pipit,song,A,11:00,03/10/2018,55,125,
401782,Rose-crested Blue Pipit,song,A,06:00,06/29/2008,129,123,
401720,Rose-crested Blue Pipit,call,A,13:00,12/28/2016,132,121,
401719,Rose-crested Blue Pipit,call,A,13:00,12/28/2016,106,107,
387404,Rose-crested Blue Pipit,call,A,10:00,09/18/2017,149,115,
377874,Rose-crested Blue Pipit,song,A,07:43,06/11/2000,134,118,
368493,Rose-crested Blue Pipit,call,A,12:47,03/13/2017,89,131,
368492,Rose-crested Blue Pipit,call,A,12:45,03/13/2017,141,124,
364567,Rose-crested Blue Pipit,song,A,07:00,04/14/2017,124,121,
353709,Rose-crested Blue Pipit,call,A,??:??,10/08/2016,127,119,
351273,Rose-crested Blue Pipit,call,A,13:00,01/17/2017,146,114,
299736,Rose-crested Blue Pipit,call,A,08:29,05/31/2015,131,133,1
298739,Rose-crested Blue Pipit,call,A,15:00,01/09/2016,124,116,
293916,Rose-crested Blue Pipit,call,A,09:01,06/05/2015,147,117,
293914,Rose-crested Blue Pipit,song,A,07:19,06/05/2015,142,114,
277989,Rose-crested Blue Pipit,song,A,20:31,05/26/2015,159,117,
277952,Rose-crested Blue Pipit,song,A,15:34,05/26/2015,128,116,
233383,Rose-crested Blue Pipit,call,A,11:19,03/15/2015,142,114,
225347,Rose-crested Blue Pipit,call,A,07:23,03/15/2015,163,117,
181907,Rose-crested Blue Pipit,call,A,17:00,03/13/2014,123,110,
176636,Rose-crested Blue Pipit,song,A,07:40,06/06/2013,121,132,
164501,Rose-crested Blue Pipit,song,A,17:30,05/03/1993,131,120,
164204,Rose-crested Blue Pipit,song,A,06:00,04/30/2012,151,154,
163385,Rose-crested Blue Pipit,call,A,15:27,01/05/2014,152,154,
162569,Rose-crested Blue Pipit,call,A,06:00,05/26/2013,75,142,
162567,Rose-crested Blue Pipit,call,A,17:50,05/25/2013,34,134,
162566,Rose-crested Blue Pipit,call,A,21:18,05/25/2013,142,121,
162564,Rose-crested Blue Pipit,song,A,21:53,05/25/2013,35,145,
162563,Rose-crested Blue Pipit,song,A,21:05,05/25/2013,116,108,
152971,Rose-crested Blue Pipit,song,A,06:00,06/28/2008,78,82,
139528,Rose-crested Blue Pipit,song,A,08:00,05/30/2009,134,144,
138985,Rose-crested Blue Pipit,song,A,??:??,06/18/2004,38,139,
134557,Rose-crested Blue Pipit,song,A,11:30,05/08/2000,39,61,
120731,Rose-crested Blue Pipit,call,A,06:00,07/21/2005,127,117,
118322,Rose-crested Blue Pipit,call,A,15:00,01/15/2013,140,149,
118321,Rose-crested Blue Pipit,call,A,15:20,01/15/2013,152,154,
118320,Rose-crested Blue Pipit,call,A,15:00,01/15/2013,127,113,
111775,Rose-crested Blue Pipit,call,A,13:05,10/22/2012,129,112,
110765,Rose-crested Blue Pipit,song,A,08:30,05/29/2012,146,111,
106772,Rose-crested Blue Pipit,call,A,06:35,06/29/2012,149,151,
105151,Rose-crested Blue Pipit,song,A,05:56,06/16/2012,127,118,
89862,Rose-crested Blue Pipit,Song,A,06:15,04/28/1996,147,154,
70544,Rose-crested Blue Pipit,call,A,0am,02/28/2010,149,154,
70543,Rose-crested Blue Pipit,call,A,0am,02/28/2010,150,160,
41283,Rose-crested Blue Pipit,call,A,11:00,10/12/2009,137,99,
35964,Rose-crested Blue Pipit,call,A,15:30,09/30/2008,142,164,
30397,Rose-crested Blue Pipit,song,A,08:00,02/22/2009,125,121,
14877,Rose-crested Blue Pipit,song,A,05:35,07/01/2007,127,167,
12122,Rose-crested Blue Pipit,song,A,06:00,04/07/2007,166,153,
387405,Rose-crested Blue Pipit,call,B,10:00,09/18/2017,125,104,
387403,Rose-crested Blue Pipit,call,B,10:00,09/18/2017,130,107,
383970,Rose-crested Blue Pipit,song,B,??:??,05/13/2015,128,121,
383446,Rose-crested Blue Pipit,call,B,09:30,08/18/2017,130,108,
378584,Rose-crested Blue Pipit,song,B,15:00,07/01/2017,75,103,
362922,Rose-crested Blue Pipit,call,B,06:12,04/25/2015,158,105,
354538,Rose-crested Blue Pipit,call,B,08:10,02/05/2017,144,110,
349700,Rose-crested Blue Pipit,call,B,11:00,12/28/2016,170,110,
345802,Rose-crested Blue Pipit,song,B,08:04,04/08/2015,149,114,
345801,Rose-crested Blue Pipit,call,B,06:45,08/10/2015,124,117,
345797,Rose-crested Blue Pipit,call,B,06:43,08/10/2015,158,107,
345796,Rose-crested Blue Pipit,call,B,14:39,01/03/2016,152,122,
345795,Rose-crested Blue Pipit,call,B,07:52,10/24/2015,143,106,
345564,Rose-crested Blue Pipit,call,B,14:45,01/03/2016,149,117,
